user,arn,user_creation_time,password_enabled,password_last_used,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date
user-devops-001,arn:aws:iam::123456789012:user/user-devops-001,2025-04-29T02:27:06.023424+00:00,true,2026-04-19T02:27:06.023424+00:00,true,false,N/A,N/A
user-devops-002,arn:aws:iam::123456789012:user/user-devops-002,2025-04-29T02:27:06.023424+00:00,true,2026-04-22T02:27:06.023424+00:00,true,true,2026-02-02T02:27:06.023424+00:00,2026-02-03T02:27:06.023424+00:00
user-engineering-003,arn:aws:iam::123456789012:user/user-engineering-003,2025-04-29T02:27:06.023424+00:00,true,2026-04-21T02:27:06.023424+00:00,true,true,2026-04-08T02:27:06.023424+00:00,2026-04-09T02:27:06.023424+00:00
user-security-004,arn:aws:iam::123456789012:user/user-security-004,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,false,true,2026-04-28T02:27:06.023424+00:00,2026-04-29T02:27:06.023424+00:00
user-hr-005,arn:aws:iam::123456789012:user/user-hr-005,2025-04-29T02:27:06.023424+00:00,true,2026-04-26T02:27:06.023424+00:00,true,true,2026-01-20T02:27:06.023424+00:00,2026-01-21T02:27:06.023424+00:00
user-engineering-006,arn:aws:iam::123456789012:user/user-engineering-006,2025-04-29T02:27:06.023424+00:00,true,2026-04-27T02:27:06.023424+00:00,true,true,2026-04-04T02:27:06.023424+00:00,2026-04-05T02:27:06.023424+00:00
user-engineering-007,arn:aws:iam::123456789012:user/user-engineering-007,2025-04-29T02:27:06.023424+00:00,true,2026-04-23T02:27:06.023424+00:00,true,true,2026-01-25T02:27:06.023424+00:00,2026-01-26T02:27:06.023424+00:00
user-hr-008,arn:aws:iam::123456789012:user/user-hr-008,2025-04-29T02:27:06.023424+00:00,true,2026-04-19T02:27:06.023424+00:00,true,true,2026-04-02T02:27:06.023424+00:00,2026-04-03T02:27:06.023424+00:00
user-hr-009,arn:aws:iam::123456789012:user/user-hr-009,2025-04-29T02:27:06.023424+00:00,true,2026-04-22T02:27:06.023424+00:00,true,false,N/A,N/A
user-devops-010,arn:aws:iam::123456789012:user/user-devops-010,2025-04-29T02:27:06.023424+00:00,true,2026-04-20T02:27:06.023424+00:00,false,true,2026-03-22T02:27:06.023424+00:00,2026-03-23T02:27:06.023424+00:00
user-product-011,arn:aws:iam::123456789012:user/user-product-011,2025-04-29T02:27:06.023424+00:00,true,2026-04-22T02:27:06.023424+00:00,true,true,2025-11-24T02:27:06.023424+00:00,2025-11-25T02:27:06.023424+00:00
user-security-012,arn:aws:iam::123456789012:user/user-security-012,2025-04-29T02:27:06.023424+00:00,true,2026-04-19T02:27:06.023424+00:00,true,false,N/A,N/A
user-finance-013,arn:aws:iam::123456789012:user/user-finance-013,2025-04-29T02:27:06.023424+00:00,true,2026-04-21T02:27:06.023424+00:00,true,true,2026-04-10T02:27:06.023424+00:00,2026-04-11T02:27:06.023424+00:00
user-product-014,arn:aws:iam::123456789012:user/user-product-014,2025-04-29T02:27:06.023424+00:00,true,2026-04-21T02:27:06.023424+00:00,false,true,2026-03-30T02:27:06.023424+00:00,2026-03-31T02:27:06.023424+00:00
user-product-015,arn:aws:iam::123456789012:user/user-product-015,2025-04-29T02:27:06.023424+00:00,true,2026-04-26T02:27:06.023424+00:00,true,true,2026-04-25T02:27:06.023424+00:00,2026-04-26T02:27:06.023424+00:00
user-devops-016,arn:aws:iam::123456789012:user/user-devops-016,2025-04-29T02:27:06.023424+00:00,true,2026-04-22T02:27:06.023424+00:00,true,true,2026-02-09T02:27:06.023424+00:00,2026-02-10T02:27:06.023424+00:00
user-hr-017,arn:aws:iam::123456789012:user/user-hr-017,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,true,true,2026-03-02T02:27:06.023424+00:00,2026-03-03T02:27:06.023424+00:00
user-engineering-018,arn:aws:iam::123456789012:user/user-engineering-018,2025-04-29T02:27:06.023424+00:00,true,2026-04-20T02:27:06.023424+00:00,true,false,N/A,N/A
user-devops-019,arn:aws:iam::123456789012:user/user-devops-019,2025-04-29T02:27:06.023424+00:00,true,2026-04-23T02:27:06.023424+00:00,true,true,2026-02-06T02:27:06.023424+00:00,2026-02-07T02:27:06.023424+00:00
user-product-020,arn:aws:iam::123456789012:user/user-product-020,2025-04-29T02:27:06.023424+00:00,true,2026-04-28T02:27:06.023424+00:00,false,true,2026-01-21T02:27:06.023424+00:00,2026-01-22T02:27:06.023424+00:00
user-product-021,arn:aws:iam::123456789012:user/user-product-021,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,true,false,N/A,N/A
user-product-022,arn:aws:iam::123456789012:user/user-product-022,2025-04-29T02:27:06.023424+00:00,true,2026-04-25T02:27:06.023424+00:00,true,true,2026-02-09T02:27:06.023424+00:00,2026-02-10T02:27:06.023424+00:00
user-hr-023,arn:aws:iam::123456789012:user/user-hr-023,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,true,true,2026-02-23T02:27:06.023424+00:00,2026-02-24T02:27:06.023424+00:00
user-hr-024,arn:aws:iam::123456789012:user/user-hr-024,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,false,true,2025-12-07T02:27:06.023424+00:00,2025-12-08T02:27:06.023424+00:00
user-devops-025,arn:aws:iam::123456789012:user/user-devops-025,2025-04-29T02:27:06.023424+00:00,true,2026-04-22T02:27:06.023424+00:00,false,true,2026-02-13T02:27:06.023424+00:00,2026-02-14T02:27:06.023424+00:00
user-engineering-026,arn:aws:iam::123456789012:user/user-engineering-026,2025-04-29T02:27:06.023424+00:00,true,2026-04-24T02:27:06.023424+00:00,true,true,2026-02-06T02:27:06.023424+00:00,2026-02-07T02:27:06.023424+00:00
user-engineering-027,arn:aws:iam::123456789012:user/user-engineering-027,2025-04-29T02:27:06.023424+00:00,true,2026-04-26T02:27:06.023424+00:00,true,false,N/A,N/A
user-hr-028,arn:aws:iam::123456789012:user/user-hr-028,2025-04-29T02:27:06.023424+00:00,true,2026-04-25T02:27:06.023424+00:00,false,false,N/A,N/A
user-security-029,arn:aws:iam::123456789012:user/user-security-029,2025-04-29T02:27:06.023424+00:00,true,2026-04-19T02:27:06.023424+00:00,true,true,2025-11-08T02:27:06.023424+00:00,2025-11-09T02:27:06.023424+00:00
user-devops-030,arn:aws:iam::123456789012:user/user-devops-030,2025-04-29T02:27:06.023424+00:00,true,2026-04-25T02:27:06.023424+00:00,true,true,2026-01-18T02:27:06.023424+00:00,2026-01-19T02:27:06.023424+00:00
